Id,Phase,Pixel Count,Area,Center Of Gravity X,Center Of Gravity Y,Fitted Ellipse Major Diameter,Fitted Ellipse Minor Diameter,Fitted Ellipse Angle,Fitted Ellipse AspectRatio,Mean Orientation Euler1,Mean Orientation Euler2,Mean Orientation Euler3
1603,Ti-Hex,27.00,4.32,33.70,22.93,6.28,0.88,111.64,7.18,113.64,167.41,19.37
1610,Ti-Hex,39.00,6.24,48.50,24.43,8.21,0.97,101.74,8.49,8.73,62.15,54.59
1612,Ti-Hex,74.00,11.84,52.68,22.24,8.54,1.77,156.35,4.84,69.58,80.90,33.14
1617,Ti-Hex,12.00,1.92,56.03,21.90,3.50,0.70,106.97,5.01,24.04,121.22,33.57
1632,Ti-Hex,24.00,3.84,17.88,22.57,5.31,0.92,141.31,5.76,127.63,47.53,24.88
1634,Ti-Hex,77.00,12.32,22.22,27.27,14.43,1.09,103.12,13.27,7.85,62.40,55.41
1638,Ti-Hex,14.00,2.24,27.71,22.71,4.87,0.59,101.29,8.33,8.03,62.76,55.07
1640,Ti-Hex,47.00,7.52,30.02,25.23,9.20,1.04,100.38,8.84,8.23,62.82,54.94
1656,Ti-Hex,20.00,3.20,67.04,21.34,2.91,1.40,160.44,2.08,25.07,120.86,45.60
1664,Ti-Hex,10.00,1.60,82.92,21.56,2.16,0.94,32.47,2.29,129.96,45.87,18.14
1671,Ti-Hex,86.00,13.76,16.72,23.80,10.78,1.63,154.07,6.63,21.91,120.01,45.51
1674,Ti-Hex,26.00,4.16,19.48,22.46,4.30,1.23,138.54,3.49,68.87,79.72,32.50
1698,Ti-Hex,13.00,2.08,0.92,22.00,2.31,1.15,10.53,2.02,8.54,62.13,45.15
1712,Ti-Hex,27.00,4.32,43.14,24.18,6.44,0.85,115.27,7.55,112.36,166.92,17.46
1714,Ti-Hex,15.00,2.40,45.09,21.79,3.66,0.83,178.41,4.39,68.73,79.98,43.87
1750,Ti-Hex,10.00,1.60,30.92,22.92,2.15,0.95,120.30,2.26,111.41,166.90,17.54
1753,Ti-Hex,26.00,4.16,40.63,24.51,5.30,1.00,115.64,5.30,111.12,167.26,16.99
1756,Ti-Hex,27.00,4.32,44.67,22.89,4.72,1.17,167.86,4.05,122.75,107.05,25.67
1759,Ti-Hex,32.00,5.12,53.15,24.14,6.15,1.06,141.02,5.80,126.47,47.42,27.67
1762,Ti-Hex,45.00,7.20,66.91,23.55,6.88,1.33,150.37,5.16,70.61,80.64,33.33
1765,Ti-Hex,17.00,2.72,70.87,23.95,4.20,0.83,106.81,5.09,11.08,62.53,54.88
1768,Ti-Hex,12.00,1.92,82.63,22.63,2.71,0.90,29.59,3.01,120.61,165.12,11.66
1782,Ti-Hex,11.00,1.76,59.49,23.16,1.93,1.16,93.86,1.66,70.03,80.56,43.48
1787,Ti-Hex,14.00,2.24,69.69,23.23,2.68,1.06,124.74,2.52,114.60,166.93,17.76
1791,Ti-Hex,63.00,10.08,87.14,24.33,5.64,2.27,143.36,2.48,129.50,45.91,26.57
1813,Ti-Hex,29.00,4.64,52.50,25.81,7.58,0.78,117.50,9.72,117.13,168.37,22.05
1818,Ti-Hex,18.00,2.88,65.20,23.78,3.69,0.99,152.16,3.71,128.65,47.49,26.62
1827,Ti-Hex,10.00,1.60,88.32,23.32,2.92,0.70,153.87,4.20,71.37,79.51,34.09
1830,Ti-Hex,13.00,2.08,1.78,23.85,1.99,1.33,140.73,1.50,124.27,105.69,27.21
1837,Ti-Hex,16.00,2.56,28.88,25.38,4.95,0.66,102.73,7.51,21.98,121.56,34.02
1846,Ti-Hex,14.00,2.24,57.40,24.00,2.41,1.18,126.77,2.04,69.02,80.28,34.51
1851,Ti-Hex,31.00,4.96,74.25,24.80,5.07,1.25,32.96,4.07,112.12,167.10,5.41
1874,Ti-Hex,75.00,12.00,52.99,29.30,11.05,1.38,113.46,7.99,10.37,62.64,53.73
1876,Ti-Hex,545.00,87.20,78.21,29.54,26.74,4.15,162.54,6.44,24.83,121.51,45.95
1891,Ti-Hex,17.00,2.72,31.91,25.44,3.02,1.15,119.14,2.63,111.34,167.22,17.71
1897,Ti-Hex,25.00,4.00,45.95,24.88,3.91,1.30,158.22,3.01,68.74,79.88,33.54
1907,Ti-Hex,104.00,16.64,3.54,26.40,8.25,2.57,156.34,3.21,68.78,79.25,34.05
1931,Ti-Hex,36.00,5.76,77.69,25.79,5.14,1.43,28.22,3.60,118.46,166.95,11.46
1947,Ti-Hex,14.00,2.24,44.80,26.31,3.98,0.72,104.81,5.55,8.30,62.45,55.59
1952,Ti-Hex,133.00,21.28,59.52,35.62,21.34,1.27,103.24,16.81,10.17,63.49,54.18
1969,Ti-Hex,24.00,3.84,17.23,26.28,3.79,1.29,28.73,2.94,113.34,166.50,8.97
1970,Ti-Hex,15.00,2.40,24.99,26.37,3.59,0.85,146.33,4.22,125.02,47.60,26.92
1982,Ti-Hex,16.00,2.56,61.28,26.05,2.12,1.54,140.00,1.38,126.09,47.51,27.87
1988,Ti-Hex,17.00,2.72,83.20,26.35,4.70,0.74,147.26,6.39,128.74,45.25,27.33
1992,Ti-Hex,11.00,1.76,10.95,26.58,2.83,0.79,125.13,3.57,109.93,165.85,14.70
1993,Ti-Hex,12.00,1.92,12.00,26.50,3.54,0.69,141.90,5.11,128.33,45.33,25.15
1994,Ti-Hex,25.00,4.00,13.50,26.69,4.66,1.09,146.17,4.27,68.77,79.49,33.84
2004,Ti-Hex,13.00,2.08,43.14,26.52,2.69,0.98,142.97,2.74,127.11,47.41,25.72
2022,Ti-Hex,13.00,2.08,26.71,26.65,3.41,0.78,152.14,4.40,21.25,120.73,45.32
2036,Ti-Hex,15.00,2.40,58.91,26.75,2.65,1.15,154.30,2.29,124.20,106.59,28.75
2039,Ti-Hex,28.00,4.48,63.03,29.00,7.37,0.77,100.78,9.53,10.43,63.24,54.27
2067,Ti-Hex,44.00,7.04,2.24,27.79,5.79,1.55,162.23,3.74,23.48,120.34,46.69
2079,Ti-Hex,66.00,10.56,42.14,32.79,12.28,1.10,112.35,11.21,110.88,167.06,16.59
2088,Ti-Hex,39.00,6.24,65.09,29.85,7.61,1.04,110.08,7.29,117.98,168.25,22.03
2090,Ti-Hex,13.00,2.08,70.40,27.54,3.61,0.73,152.19,4.92,128.66,46.46,26.89
2121,Ti-Hex,13.00,2.08,82.43,27.69,2.85,0.93,13.39,3.07,9.11,63.60,45.08
2127,Ti-Hex,18.00,2.88,11.78,28.24,2.60,1.41,167.92,1.84,7.59,62.15,46.42
2135,Ti-Hex,10.00,1.60,24.28,28.28,2.47,0.82,140.11,3.00,127.04,48.61,25.89
2136,Ti-Hex,56.00,8.96,28.04,28.80,6.53,1.75,163.77,3.74,68.60,81.10,32.62
2144,Ti-Hex,21.00,3.36,32.93,28.76,4.21,1.02,140.28,4.14,127.37,46.65,26.07
2148,Ti-Hex,15.00,2.40,43.55,27.97,2.97,1.03,165.37,2.88,22.27,120.04,44.82
2151,Ti-Hex,18.00,2.88,48.16,28.16,3.10,1.18,153.64,2.62,68.82,80.79,33.76
2158,Ti-Hex,162.00,25.92,61.65,31.51,9.58,3.44,134.45,2.78,69.95,81.60,33.58
2162,Ti-Hex,35.00,5.60,69.33,29.51,6.45,1.11,148.74,5.84,127.82,46.98,27.19
2178,Ti-Hex,219.00,35.04,21.71,32.92,13.85,3.22,143.21,4.30,68.19,79.91,33.72
2201,Ti-Hex,50.00,8.00,14.91,29.92,5.96,1.71,163.77,3.49,24.45,119.86,46.76
2215,Ti-Hex,72.00,11.52,47.76,30.00,10.38,1.41,169.63,7.34,69.35,81.05,33.40
2224,Ti-Hex,145.00,23.20,68.57,38.45,18.90,1.56,104.34,12.09,9.94,63.00,54.52
2225,Ti-Hex,196.00,31.36,70.93,34.49,11.77,3.39,136.02,3.47,69.49,80.97,33.50
2231,Ti-Hex,11.00,1.76,88.69,29.02,1.93,1.16,41.14,1.67,118.40,165.12,11.25
2251,Ti-Hex,12.00,1.92,72.63,30.53,4.48,0.55,97.96,8.20,9.94,63.37,55.26
2268,Ti-Hex,11.00,1.76,26.69,29.96,3.21,0.70,142.97,4.61,126.13,47.77,27.25
2277,Ti-Hex,10.00,1.60,55.00,30.12,2.53,0.80,127.53,3.15,118.26,168.53,22.31
2285,Ti-Hex,15.00,2.40,1.87,32.13,6.07,0.50,97.57,12.04,7.04,62.19,57.19
2286,Ti-Hex,10.00,1.60,2.80,30.20,1.89,1.08,153.43,1.76,108.86,166.10,15.11
2289,Ti-Hex,10.00,1.60,6.32,30.32,2.47,0.83,143.68,2.99,127.05,44.34,25.33
2292,Ti-Hex,21.00,3.36,11.41,30.44,4.59,0.93,167.94,4.92,70.10,79.20,33.70
2296,Ti-Hex,39.00,6.24,28.29,31.19,6.46,1.23,161.84,5.25,68.92,80.88,32.73
2303,Ti-Hex,11.00,1.76,43.35,30.33,2.21,1.01,139.25,2.18,8.65,62.29,54.72
2400,Ti-Hex,56.00,8.96,15.92,32.41,6.59,1.73,162.79,3.80,24.33,119.90,46.84
2410,Ti-Hex,10.00,1.60,34.08,31.68,2.47,0.83,143.68,2.99,127.74,46.55,25.43
2415,Ti-Hex,33.00,5.28,45.55,31.79,5.04,1.33,167.75,3.78,69.16,80.95,32.94
2423,Ti-Hex,27.00,4.32,56.12,33.78,7.04,0.78,121.49,9.00,116.32,168.43,20.53
2432,Ti-Hex,34.00,5.44,71.02,32.66,5.73,1.21,145.28,4.73,127.96,47.09,26.98
2444,Ti-Hex,127.00,20.32,8.53,38.12,11.58,2.23,117.24,5.19,112.17,165.97,18.17
2446,Ti-Hex,12.00,1.92,6.50,32.37,2.61,0.94,138.34,2.79,126.95,44.40,25.34
2462,Ti-Hex,74.00,11.84,39.83,37.01,10.40,1.45,101.11,7.18,23.02,121.26,35.24
2466,Ti-Hex,112.00,17.92,52.46,34.03,9.70,2.35,153.25,4.12,69.97,81.39,33.47
2510,Ti-Hex,18.00,2.88,0.80,33.00,2.26,1.63,156.89,1.39,23.39,120.10,46.98
2512,Ti-Hex,10.00,1.60,5.20,33.68,3.20,0.64,110.50,5.02,7.67,61.90,56.41
2513,Ti-Hex,89.00,14.24,14.39,34.10,8.85,2.05,155.47,4.32,69.58,79.36,33.71
2516,Ti-Hex,11.00,1.76,24.62,33.31,2.42,0.93,107.23,2.62,114.31,166.53,20.62
2519,Ti-Hex,14.00,2.24,27.17,33.09,2.95,0.97,142.95,3.05,69.20,80.48,33.38
2522,Ti-Hex,88.00,14.08,32.83,36.03,11.70,1.53,139.80,7.63,125.83,47.21,26.81
2550,Ti-Hex,32.00,5.12,45.25,35.69,6.53,1.00,105.84,6.55,8.12,62.74,55.69
2554,Ti-Hex,62.00,9.92,49.26,38.02,11.41,1.11,102.88,10.30,8.57,62.81,55.25
2565,Ti-Hex,14.00,2.24,76.91,34.31,3.57,0.80,107.27,4.47,10.07,63.10,54.95
2566,Ti-Hex,23.00,3.68,78.24,33.65,3.27,1.43,152.94,2.28,70.34,80.61,33.72
2584,Ti-Hex,10.00,1.60,43.60,34.60,3.78,0.54,108.26,7.00,22.90,120.26,34.02
2586,Ti-Hex,20.00,3.20,46.06,35.24,4.52,0.90,112.29,5.02,113.24,167.26,18.89
2607,Ti-Hex,92.00,14.72,13.00,40.60,13.14,1.43,103.14,9.21,7.35,62.91,56.57
2608,Ti-Hex,12.00,1.92,17.80,34.47,3.25,0.75,145.75,4.31,128.31,45.78,25.01
2622,Ti-Hex,23.00,3.68,60.99,35.69,5.20,0.90,116.39,5.77,118.87,167.45,22.83
2625,Ti-Hex,46.00,7.36,81.70,35.26,3.55,2.64,28.68,1.35,115.76,166.51,9.08
2628,Ti-Hex,18.00,2.88,0.84,35.11,2.82,1.30,142.56,2.17,68.68,79.77,33.70
2640,Ti-Hex,15.00,2.40,26.72,34.61,2.87,1.07,149.41,2.69,125.71,46.59,27.90
2649,Ti-Hex,16.00,2.56,47.22,36.43,5.66,0.58,102.23,9.84,23.25,120.89,34.86
2658,Ti-Hex,19.00,3.04,4.55,35.01,3.14,1.23,154.85,2.55,69.24,79.38,33.41
2669,Ti-Hex,15.00,2.40,30.24,35.92,4.03,0.76,113.59,5.32,109.45,168.17,15.41
2682,Ti-Hex,11.00,1.76,2.69,36.04,3.35,0.67,93.99,5.02,7.73,62.45,56.09
2695,Ti-Hex,39.00,6.24,51.98,36.53,6.29,1.26,151.51,4.98,126.78,47.87,27.77
2699,Ti-Hex,31.00,4.96,63.59,37.55,5.24,1.21,121.80,4.34,119.66,167.08,24.77
2701,Ti-Hex,10.00,1.60,63.40,35.28,2.02,1.01,137.14,2.00,125.60,105.32,29.10
2706,Ti-Hex,55.00,8.80,86.46,35.78,5.22,2.15,172.54,2.43,71.19,79.46,34.58
2716,Ti-Hex,14.00,2.24,21.43,36.11,3.00,0.95,137.75,3.16,126.18,45.99,26.72
2729,Ti-Hex,27.00,4.32,65.73,36.61,4.31,1.28,137.70,3.38,126.69,48.01,28.23
2735,Ti-Hex,17.00,2.72,75.60,36.28,3.66,0.95,147.84,3.86,128.10,47.34,27.54
2740,Ti-Hex,166.00,26.56,5.25,41.03,14.79,2.29,142.34,6.47,126.87,46.53,26.45
2743,Ti-Hex,15.00,2.40,5.04,36.24,3.47,0.88,155.50,3.94,23.45,120.32,46.73
2746,Ti-Hex,17.00,2.72,10.89,38.05,4.18,0.83,93.47,5.04,7.43,62.77,56.46
2747,Ti-Hex,94.00,15.04,17.44,37.50,10.07,1.90,163.55,5.30,22.60,121.41,46.67
2757,Ti-Hex,10.00,1.60,50.00,36.60,2.71,0.75,113.74,3.60,113.46,165.87,19.22
2771,Ti-Hex,12.00,1.92,24.67,37.10,2.62,0.93,95.73,2.81,7.26,63.49,55.49
2774,Ti-Hex,14.00,2.24,35.74,37.23,3.63,0.79,134.29,4.61,111.42,167.76,17.82
2784,Ti-Hex,16.00,2.56,54.45,36.52,4.48,0.73,164.49,6.16,22.57,121.33,43.78
2791,Ti-Hex,20.00,3.20,5.24,37.54,3.91,1.04,136.81,3.76,127.05,46.15,26.18
2817,Ti-Hex,16.00,2.56,83.50,37.08,2.23,1.46,137.55,1.52,24.31,121.01,45.93
2825,Ti-Hex,25.00,4.00,33.02,37.78,4.59,1.11,155.57,4.14,68.12,81.00,33.43
2851,Ti-Hex,32.00,5.12,71.11,39.09,4.09,1.59,136.77,2.56,127.38,46.56,26.72
2859,Ti-Hex,43.00,6.88,87.17,38.79,5.01,1.75,25.08,2.87,111.56,165.72,4.70
2861,Ti-Hex,26.00,4.16,7.46,40.31,5.62,0.94,103.96,5.96,8.05,63.16,55.57
2864,Ti-Hex,18.00,2.88,11.98,40.24,5.82,0.63,101.67,9.25,23.24,121.30,34.80
2866,Ti-Hex,49.00,7.84,24.71,38.92,4.88,2.04,174.89,2.39,22.86,121.29,46.32
2874,Ti-Hex,82.00,13.12,55.89,38.99,10.40,1.61,168.29,6.47,22.96,121.66,44.63
2879,Ti-Hex,11.00,1.76,66.44,39.05,3.67,0.61,103.68,6.01,9.21,63.71,53.41
2883,Ti-Hex,21.00,3.36,79.30,38.23,2.46,1.74,157.77,1.41,70.79,81.66,34.13
2892,Ti-Hex,163.00,26.08,21.50,40.83,15.89,2.09,159.73,7.60,68.49,79.92,34.00
2896,Ti-Hex,27.00,4.32,29.73,39.26,2.42,2.28,95.10,1.06,21.47,121.08,45.15
2899,Ti-Hex,38.00,6.08,33.94,39.31,6.90,1.12,160.37,6.14,21.76,121.25,45.47
2901,Ti-Hex,62.00,9.92,45.28,39.33,8.62,1.47,165.38,5.88,23.22,121.64,45.32
2942,Ti-Hex,10.00,1.60,72.56,39.08,2.03,1.00,100.30,2.03,113.63,166.67,18.80
2945,Ti-Hex,41.00,6.56,83.14,40.50,6.22,1.34,148.76,4.63,127.80,46.94,27.37
2946,Ti-Hex,31.00,4.96,84.89,40.43,7.69,0.82,150.11,9.37,70.43,80.85,34.38
2957,Ti-Hex,67.00,10.72,64.27,40.88,7.72,1.77,165.13,4.37,22.97,121.77,44.73
2961,Ti-Hex,24.00,3.84,76.55,39.98,4.01,1.22,30.33,3.28,116.22,167.76,9.89
2992,Ti-Hex,31.00,4.96,81.78,41.52,4.96,1.27,120.54,3.90,114.80,166.45,19.37
2997,Ti-Hex,29.00,4.64,14.77,42.84,6.66,0.89,95.72,7.50,23.47,120.68,35.63
2998,Ti-Hex,30.00,4.80,16.63,42.79,8.19,0.75,118.80,10.99,112.34,165.96,18.25
3010,Ti-Hex,71.00,11.36,53.89,41.19,7.77,1.86,165.24,4.17,23.06,121.65,44.75
3028,Ti-Hex,21.00,3.36,19.12,41.16,5.23,0.82,149.18,6.38,127.89,46.34,26.03
3032,Ti-Hex,184.00,29.44,34.00,42.27,12.48,3.00,165.02,4.16,68.67,80.32,33.48
3039,Ti-Hex,20.00,3.20,56.56,40.60,4.05,1.00,158.04,4.03,125.69,47.64,28.42
3049,Ti-Hex,26.00,4.16,88.11,40.78,3.19,1.66,150.80,1.92,24.88,120.94,46.25
3079,Ti-Hex,64.00,10.24,75.60,41.71,8.12,1.60,172.47,5.06,23.78,121.45,45.05
3088,Ti-Hex,23.00,3.68,27.65,42.30,4.81,0.97,140.69,4.93,126.93,47.50,26.28
3111,Ti-Hex,14.00,2.24,0.94,41.83,2.57,1.11,14.75,2.31,112.45,166.45,7.67
3140,Ti-Hex,147.00,23.52,46.87,43.80,9.53,3.14,162.22,3.03,69.69,80.95,33.40
3151,Ti-Hex,113.00,18.08,75.56,43.67,12.20,1.89,161.72,6.46,70.03,80.98,33.65
3158,Ti-Hex,14.00,2.24,3.60,42.63,2.64,1.08,29.12,2.45,7.88,63.33,45.46
3160,Ti-Hex,25.00,4.00,15.79,44.14,4.87,1.05,113.85,4.65,113.94,165.63,19.85
3164,Ti-Hex,12.00,1.92,19.27,42.33,1.93,1.27,178.09,1.52,24.16,120.04,46.29
3173,Ti-Hex,11.00,1.76,52.04,42.76,1.82,1.23,135.00,1.48,126.69,47.86,28.36
3179,Ti-Hex,32.00,5.12,65.92,44.30,4.00,1.63,131.89,2.46,113.93,167.43,18.33
3183,Ti-Hex,117.00,18.72,85.54,43.67,7.67,3.11,13.52,2.47,9.87,63.17,44.25
3188,Ti-Hex,53.00,8.48,25.32,44.63,6.67,1.62,149.80,4.12,126.02,46.95,26.80
3200,Ti-Hex,12.00,1.92,79.13,42.83,2.87,0.85,6.09,3.38,110.31,166.90,4.32
3201,Ti-Hex,19.00,3.04,1.16,43.31,2.91,1.33,162.04,2.19,23.23,121.24,45.90
3208,Ti-Hex,20.00,3.20,30.94,44.02,3.34,1.22,144.78,2.74,22.96,120.49,45.37
3214,Ti-Hex,38.00,6.08,43.04,44.31,5.64,1.37,152.76,4.11,128.17,47.04,26.00
3233,Ti-Hex,11.00,1.76,22.22,44.55,3.44,0.65,99.03,5.27,22.41,120.66,35.16
3234,Ti-Hex,17.00,2.72,23.20,44.80,3.54,0.98,115.18,3.61,111.20,165.77,17.75
3252,Ti-Hex,12.00,1.92,60.50,44.40,2.55,0.96,101.69,2.65,113.93,167.46,18.33
3255,Ti-Hex,23.00,3.68,68.03,43.77,2.92,1.60,162.79,1.83,125.03,107.21,27.32
3263,Ti-Hex,19.00,3.04,4.17,44.17,2.69,1.44,165.92,1.88,23.33,121.16,46.67
3266,Ti-Hex,13.00,2.08,19.35,44.89,3.38,0.78,115.72,4.31,112.51,165.80,18.45
3274,Ti-Hex,81.00,12.96,55.23,45.15,8.14,2.03,169.83,4.02,70.47,81.15,33.17
3283,Ti-Hex,53.00,8.48,2.71,45.25,6.66,1.62,168.03,4.11,69.22,80.29,33.97
3295,Ti-Hex,16.00,2.56,33.58,44.42,2.35,1.39,168.56,1.69,8.46,64.52,44.24
3296,Ti-Hex,53.00,8.48,37.58,45.24,7.00,1.54,166.81,4.54,23.14,120.63,46.20
3308,Ti-Hex,26.00,4.16,87.69,45.00,4.23,1.25,20.04,3.37,126.37,105.74,27.46
3329,Ti-Hex,25.00,4.00,75.78,45.26,4.04,1.26,164.00,3.21,23.20,121.33,44.80
